名称,链接,类型,卫生间,床数量,卧室数量,容纳人数,价格,评论数,特色,位置,出行信息,,,,
清远佛冈温泉度假别墅带泡池麻将烧烤KTV4房17-22,"https://www.airbnb.cn/rooms/23138193?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,最多住11人,1080,1,"别墅独栋以欧式风格为主,简约温馨,配设齐全,厨房可做饭,wifi覆盖,内有大花园带温泉池､KTV房､乒乓球等设施游玩,烧烤(提供电烤炉),团体活动等场地足够!
清泉城环境优美且舒适,空气质量足够好,清泉城内还有一个大的温泉区,此外附近还有森波拉温泉､稍远一点有龙门温泉,很适宜养生度假｡
周边配套丰富,有购物广场､步行商业街､佛冈县府广场里的运动设施､医院等,也是十分方便｡

出行信息 · 碧桂园清泉城离佛冈高速出口5公里,到佛冈镇中心也并不远,15-20分钟车程即到｡可自行驾车也可乘坐大巴｡

其他注意事项 · 为了避免给邻居带来骚扰,KTV房只能从下午三点开始到晚上十点结束｡
别墅内自带有温泉池,第一池是免费的,若要加多一池,则交200元｡
另外清泉城内的一个大温泉区需要购买门票才可进去｡",,,,,,
清远佛冈温泉度假别墅带泡池乒乓球KTV5房2-32,"https://www.airbnb.cn/rooms/23152836?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,1间卫生间,8张床,5间卧室,16位及更多房客,1480,0,"别墅独栋以东南亚风格为主,环境好且舒适,厨房可做饭,Wi-Fi覆盖｡内有麻将,KTV,花园带私人泡池,乒乓球,提供电烤炉烧烤,活动场地足够!
•注意哦:为了避免给邻居带来骚扰,唱k时间最迟在晚上十点半以前结束｡
别墅内自带有温泉池,预订可免费赠送一池温泉水,第二池开始每池加200｡
•周边配套丰富,有购物广场,超市,商业街,医院等｡出碧桂园大道5分钟左右有一大片农庄,具有特色的臭屁醋,三斤鸡等推荐尝试哦~
碧桂园清泉城内有温泉谷,需买票｡附近有英伦小镇,都是一些欧式建筑,可以拍拍照~5分钟左右车程可达森波拉温泉,森波拉奇妙世界,稍远还有龙门温泉,金龟池｡
•碧桂园清泉城离佛冈高速出口5公里,到佛冈镇中心15-20分钟车程;也有专门大巴到达清泉城｡","周边配套丰富,有购物广场,超市,商业街,医院等｡出碧桂园大道5分钟左右有一大片农庄,具有特色的臭屁醋,三斤鸡等推荐尝试哦~
碧桂园清泉城内有温泉谷,需买票｡附近有英伦小镇,都是一些欧式建筑,可以拍拍照~5分钟左右车程可达森波拉温泉,森波拉奇妙世界,稍远还有龙门温泉,金龟池｡","碧桂园清泉城离佛冈高速出口5公里,到佛冈镇中心15-20分钟车程;也有专门大巴到达清泉城｡别墅里可以放两台车,多于两台可以找位置安放哈",,,,
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将","https://www.airbnb.cn/rooms/23248092?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3.5个卫生间,10张床,7间卧室,最多住14人,900,14,"*七房十床280平方温泉双拼别墅!配日式私家人工温泉池､独立KTV房,豪华沙发!烧烤炉､电动麻将桌､厨房用具､名牌家私电器､免费WIFI一应俱全!免费停车!使用标准一次性洗漱用品!毛巾､床品一客一换!专属管家服务,专职阿姨清洁卫生!
*别墅位于清远市恒大世纪旅游城内,距离新银盏温泉20-30分钟车程,古龙峡玻璃大峡谷+国际漂流､清泉湾玻璃漂流+水上乐园､龙腾峡15分钟左右车程,英西峰林35-40分钟车程,清远市区20分钟的车程,广州市60分钟车程,深圳市120分钟车程!
*交通:别墅区有穿梭巴士,每天有楼巴往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达清远市区!
*美食:清远恒大内有开心农场､恒大自助餐､美食中心东南西北各大美食;附近有田美农庄等农家菜!
*超市､市场:华润万家､美宜佳､购买烧烤食材的农贸市场!
*休闲娱乐:清远恒大饮食､娱乐､运动､商业､会议､健康中心,运动中心有真人CS对抗赛､恒温游泳池､桑拿房､健身房､单车､足球场､篮球场､网球场､羽毛球､桌球､乒乓球等运动设施｡有人工湖碰碰电动船;山顶公园､儿童滑滑梯､松鼠营､假山瀑布免费游玩｡娱乐中心有各种儿童设施","*别墅位于风景优美的清远市恒大世纪旅游城内,距离新银盏温泉20-30分钟车程,古龙峡玻璃大峡谷+国际漂流､清泉湾玻璃漂流+水上乐园､龙腾峡漂流15分钟左右车程,英西峰林35-40分钟车程,清远市区20分钟的车程,广州市60分钟车程,深圳市120分钟车程!*别墅区内有穿梭巴士,每天有楼巴往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达清远市区,交通便利!附近景区还有笔架山森林瀑布4A风景区､太和古洞､牛鱼嘴风景区､玄真古洞､飞来湖湿地公园､金鸡岩､英西峰林､洞天仙境等!
*别墅周围绿树成荫､有人工湖泊,区内治安好,保安24小时巡视,山清水秀､林语花香､湖光山色､享大自然的负离子,远离都市喧嚣,享受这份独特的尘世美,为单位团建､家庭休闲､朋友出游的好去处!","别墅区内有穿梭巴士到清远恒大会议中心,每天有楼巴从清远恒大会议中心往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达清远市区,交通便利!别墅区内停车免费,可停多辆车!",,,,
清远佛冈温泉带麻将近英伦小镇复式微墅2房,"https://www.airbnb.cn/rooms/23265798?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,399,3,"微墅简约温馨,配设齐全,厨房可做饭,wifi覆盖,内有麻将机｡
位于英伦小镇,地方漂亮,足以带上伙伴一起拍照留念~清泉城环境优美且舒适,空气质量足够好,清泉城内还有一个大的温泉谷,此外附近还有森波拉温泉､稍远一点有龙门温泉,很适宜养生度假｡
周边配套丰富,有购物广场､步行商业街､佛冈县府广场里的运动设施､医院等,也是十分方便｡

出行信息 · 碧桂园清泉城离佛冈高速出口5公里,到佛冈镇中心也并不远,15-20分钟车程即到｡可自行驾车也可乘坐大巴｡

其他注意事项 · 清泉城内的一个大温泉区需要购买门票才可进去｡",,,,,,
清远佛冈温泉带泡池独立KTV麻将机独栋别墅4房1-11,"https://www.airbnb.cn/rooms/23284860?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,8张床,4间卧室,最多住12人,899,4,"别墅独栋以欧式风格为主,简约温馨,配设齐全,厨房可做饭,wifi覆盖,内有花园带温泉池､独立KTV房､麻将机等设施游玩,烧烤(提供电烤炉),团体活动等场地足够!
清泉城环境优美且舒适,空气质量足够好,清泉城内还有一个大的温泉区,此外附近还有森波拉温泉､稍远一点有龙门温泉,很适宜养生度假｡
周边配套丰富,有购物广场､步行商业街､佛冈县府广场里的运动设施､医院等,也是十分方便｡

出行信息 · 碧桂园清泉城离佛冈高速出口5公里,到佛冈镇中心也并不远,15-20分钟车程即到｡可自行驾车也可乘坐大巴｡

其他注意事项 · 为了避免给邻居带来骚扰,KTV房只能从下午三点开始到晚上十点结束｡
别墅内自带有温泉池,第一池是免费的,第二池起每池交200元｡
另外清泉城内的一个大温泉区需要购买门票才可进去｡",,,,,,
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将","https://www.airbnb.cn/rooms/23286790?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,6张床,5间卧室,最多住12人,900,10,"*别墅位于清远市恒大世纪旅游城内,距离新银盏温泉20-30分钟车程､古龙峡玻璃大峡谷+国际赛道漂流､清泉湾､黄腾峡漂流15-30分钟车程,清远市区20分钟的车程,广州市60分钟车程,深圳市120分钟车程!
*五房七床260平方豪华大别墅!别墅豪华装修,配高级KTV设备､烧烤炉､电动麻将桌､厨房用具､日式SPA按摩浴缸､名牌家私电器､免费WIFI一应俱全!免费停车!全部使用标准一次性洗漱用品!毛巾､床品一客一换!专属管家服务,专职阿姨清洁卫生!
*交通:别墅区内有穿梭巴士,每天有楼巴往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达清远市区!
*美食:清远恒大小区内有开心农场､恒大酒店自助餐､美食中心东南西北各大美食;附近有田美农庄等各种农家菜｡
*超市､市场:华润万家､美宜佳､购买烧烤食材的农贸市场｡
*休闲娱乐:小区内清远恒大会议､饮食､娱乐､运动､健康､商业六大中心,运动中心有真人CS对抗赛､恒温游泳池､桑拿房､健身房､单车､足球场､篮球场､网球场､羽毛球､乒乓球等运动设施｡小区内有人工湖碰碰电动船;山顶公园､儿童滑滑梯､松鼠营､假山瀑布免费游玩｡娱乐中心有各种儿童设施!","*别墅位于风景优美的清远市恒大世纪旅游城内,距离新银盏温泉20-30分钟车程､古龙峡玻璃大峡谷+国际赛道漂流､清泉湾玻璃漂流+水上乐园､龙腾峡漂流15分钟左右车程,黄腾峡漂流20-30分钟车程,清远市区20分钟的车程,广州市60分钟车程,深圳市120分钟车程!
*别墅周围绿树成荫､有人工湖泊,区内治安好,保安24小时巡视,山清水秀､林语花香､湖光山色､享大自然的负离子,远离都市喧嚣,享受这份独特的尘世美,为单位团建､家庭休闲､朋友出游的好去处!","别墅区内有穿梭巴士到恒大会议中心,每天有楼巴从恒大会议中心往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达古龙峡､清远市区,交通便利!别墅区内停车免费,可停多辆车!",,,,
英西别苑标准双人间,"https://www.airbnb.cn/rooms/23345713?s=lL8DwLxp&guests=1&adults=1
",农家乐里的独立房间,1间卫生间,2张床,1间卧室,最多住2人,180,0,"英西别苑占地面积约为一万平方米｡英西别苑集种植､养殖､旅游､度假､休闲､生态农业观光为一体,以“天然氧吧”“干净水源”“绿色食品”为三大主要特色,以餐饮､娱乐､休闲为载体,让客人享受清新自然､远离污染的高品质的生活为经营宗旨｡英西别苑位于英德黄花镇英西峰林走廊,置身绿色长廊独有的“天然氧吧”中,此处环境优雅､空气清新､设备齐全,“前院后店”的布局别具一格,提供了足够的娱乐空间｡",,"距离老虎谷暗河漂流起漂点约800米,距离九重天景点约2公里｡",,,,
清远英德江景温泉游泳度假式住宅--给你的云海江湾的美好度假生活,"https://www.airbnb.cn/rooms/23381311?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,5张床,3间卧室,最多住6人,780,4,"【世界稀有碱泉】
主打温泉主题,楼下有二十多个不同功能温泉池(芦荟池,人参池,冰火池等)｡

【无边际泳池】
楼下有无边际游泳池,与连江风光融为一体｡还配有儿童游泳池哦｡

【私人温泉配套】
住宅入户花园配有私人温泉池;

【一线江景】
阳台和房间都能看到连江无敌一线江景;

【干净卫生】日常酒店式专人清洁卫生｡

【划重点】免费提供高级茶叶,茶具,自动麻将机,力求为住客提供优质的度假体验｡

住客还可以用屋里的自动麻将机搓搓麻将,绝对是一家大小度假的好地方哦

【自费须知】
室内温泉池和度假区配套设施请自选自费:
【室内温泉池水】约20元一池(按实际使用量收费)
【楼下温泉泳池套票】15元/人,1.2米以下小孩免票(仅供参考,以实际入住时度假区安排为准)",,,,,,
(森波拉奇妙世界旁4室豪华大床房)佛冈县碧桂园一剪梅度假公寓,"https://www.airbnb.cn/rooms/23399304?s=lL8DwLxp&guests=1&adults=1
",整套房子,2个卫生间,4张床,4间卧室,最多住8人,488,2,"可以整套租住,也可以选间租住(平日价每间168元/晚,同样可以享用公共区域)｡如果一家大小度假､或闺蜜知己聚会､同事团建活动等等,碧桂园清泉城一剪梅度假公寓是你的理想选择哟!佛冈碧桂园空气清新,环境宁静舒适,配套有高级的温泉度假乐园及游泳池,植物丰富的植物观赏园,及各大饮食娱乐的农家乐餐厅､超市等｡一剪梅度假公寓装修典雅舒适,给您香家一样温暖舒服的度假享受,远离大都市的喧嚣,享受片刻的慢生活.....

交通情况
佛冈碧桂园近邻广州北部,仅一个小时车程便可从广州到达这广州的后花园,交通方便,高速直达,京港澳高速佛冈出口后15分钟车程即可到达｡","苑区内有温泉､植物园､体育公园､登山道,小区绿树环抱､清新怡人,在这里您不用担心大都市的吵闹,物业管理安全有序,24小时保安巡视,让您住的安全放心,玩得休闲舒心｡","佛冈碧桂园近邻广州北部,仅一个小时车程便可从广州到达这广州的后花园,交通方便,高速直达,京港澳高速佛冈出口后15分钟车程即可到达｡如果你是坐车来的,在佛冈县城换乘碧桂园直通车､2路车､3路车可抵达｡其实,如果你来到佛冈汽车站或县城,提前联系我,我免费去接一下贵宾们也是可以的呦!",,,,
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,"https://www.airbnb.cn/rooms/23423221?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,5张床,4间卧室,最多住10人,889,12,"周末来我家吧!
这里是佛冈碧桂园清泉城｡
这里风景优美,空气清新,这里是世外桃源｡
放下工作,抛开烦恼,沉静心灵,放飞你的灵魂……

地址:广东省 清远市 佛冈县 碧桂园清泉城 林泉谷 一街 22号
交通指引:华南快速——京珠高速——佛冈收费站下,直行600米右转进入106国道,直行7公里到碧桂园清泉城,右转进入,直行2公里到的第一个小区即为林泉谷｡

房屋特色:
与清泉城其他别墅开发商自带装修不同,本套别墅原为毛坯房,由业主自己精心设计装修而成,中式风格,居家范围浓厚｡温泉泡池､K歌､烧烤设施配置齐全｡

家私配置高档｡配备了名牌家电､红木家具､真皮沙发､真皮床具､乳胶床垫等,深度契合碧桂园“给您一个五星级的家”理念｡

二楼精心设计了一个公主房套间,紫色墙面和蓝色弧形吊顶搭配,在灯带射灯的配合下,极具梦幻效果,满足每个女孩心中的公主梦｡","家庭氛围浓厚,适合亲子游,家庭聚会,同事朋友聚会,安静舒适干净","自驾出行,或者做小区楼巴",,,,
佛冈碧桂园温泉度假别墅6房10床+私家温泉池+超大私家花园+私家游泳池,"https://www.airbnb.cn/rooms/23442047?s=lL8DwLxp&guests=1&adults=1
",整套房子,4个卫生间,10张床,6间卧室,最多住15人,1680,1,"本别墅位于广东省清远市佛冈碧桂园清泉城内,酒店式经营管理,周边旅游资源丰富,聚集了森波拉奇妙世界､观音山风景区､聚龙湾度假区等旅游度假项目,是珠三角客户旅游度假天堂｡别墅内设有独立ktv影视厅､65寸超大电视､私家温泉､羽毛球､乒乓球､私家泳池(泳池冬天不开放)､电动麻将机､烧烤炉､厨房等设备｡独栋别墅,视野开阔,别墅四周群山环绕,景色优美 ,是一个休闲度假的首选地方｡",,,,,,
佛冈碧桂园清泉城5房7床温泉别墅+私家花园+烧烤+私家温泉,"https://www.airbnb.cn/rooms/23461709?s=lL8DwLxp&guests=1&adults=1
",整套房子,3.5个卫生间,7张床,5间卧室,最多住10人,1480,0,"别墅配有温泉池, KTV 设备,自动麻将､私家花园､私家温泉池,多功能厨房,茶几,乒乓球,桌球,烧烤炉等等｡清新的空气和休闲的气氛,让您感受城市不能体验的悠闲舒适,让心灵回归大自然,更好地感受生活的乐趣｡",,,,,,
浪漫满屋〔森波拉对面.佛冈奥园麻将大床房〕,"https://www.airbnb.cn/rooms/23537470?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,1间卧室,最多住2人,188,0,"广东省清远市佛冈奥园公寓,位于县城东部,自驾在京港澳高速佛冈县出口,106国道北上3公里即可到达｡交通便捷,环境优雅,空气清新,依山傍水,无敌江景｡是大自然的氧吧｡附近有很多著名景点:对面有森波拉火山温泉度假区,环距离10公里左右有王山寺,观音山森林自然保护区,黄花湖,勤天城,上岳古民居等等,奥园公寓位于景点的中央位置,非常便捷｡公寓600米内有很多特色农庄,河对岸有私人活水游泳场,烧烤场｡我的公寓因为是房主直接出租,非中介,所以服务周到,价格实惠｡欢迎光临｡","这里依山傍水,空气清新,交通便捷,只用森波拉三分之一的价格,享受同等的住宿｡","这里距离广州约90公里｡在京港澳高速,佛冈出口,沿106国道北上3公里即可到达｡导航地址:广东省清远市佛冈县佛冈奥园公寓｡",,,,
佛冈碧桂园清泉城4房5床超豪华4房温泉度假别墅,"https://www.airbnb.cn/rooms/23552150?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,5张床,4间卧室,最多住7人,2788,0,"碧桂园•清泉城坐落于广州后花园清远佛冈羊角山风景区碧桂园清泉城云泉谷,坐北观南,拥有宽阔的自然景观｡
      度假别墅干净卫生,靠近优美的景色､由房东自营｡这是森林里的别墅来这里度假,吸醉氧,优于广州8倍的负离子为您洗去一周的疲惫,留住时光,静听时光的声音,阳光､空气､洗肺,给自己一个悠闲的五星级度假｡ 
  适合家庭度假,班级活动,朋友聚会,生日Party,客户接待等
【别墅内】:私家花园温泉泡池,烧烤､麻将､鱼池､小溪｡
【别墅区】温泉会所､绿道踩单车､植物园､草坪､无边泳池､儿童乐园､体育公园､钓鱼岛､水晶宫､英伦小镇､风情商业街､当地美食农庄等｡

全屋配备冷暖空调,管家接待,坚持卫生优先｡其中1张2米大床,1张1.8米大床,1张1.5米床､两张1.5米榻榻米床,标准入住人数7人,可临加沙发床

碧桂园清泉城距京珠高速出口5公里,交通便利,距广州市中心1小时车程｡

这里,有最干净的空气,最清澈的溪流,最灿烂的星空,和最美丽的风景｡",,,,,,
清远佛冈碧桂园古典韵味别墅,"https://www.airbnb.cn/rooms/23604073?s=lL8DwLxp&guests=1&adults=1
",农家房,4个卫生间,7张床,4间卧室,最多住12人,880,0,"房屋配有落地窗,屋顶露台｡KTV设备,品牌家电家具､五星级床品｡由房东亲自设计的轻奢主义风,无论是公私差旅还是亲朋小聚,都能感受到同样的温馨的体验,相信会给朋友们留下温馨美好的回忆!",,,,,,
"浪漫满屋〔佛冈奥园公寓,靠近森波拉.聚龙湾〕","https://www.airbnb.cn/rooms/23619227?s=lL8DwLxp&guests=1&adults=1
",整套酒店式公寓,1间卫生间,2张床,1间卧室,最多住2人,168,3,"1.佛冈奥园公寓,52平方,江景棋牌大床房,附近有森波拉,聚龙湾,王山寺,观音山等景点,小区管理,24小时保安巡逻｡
       2.环境优雅空气清新,无敌江景,有麻将机,给你的旅途增添乐趣｡
       3.交通便捷,5分钟路程到森波拉,5分钟路程到县城,距离京港澳高速3公里,位于佛冈所有旅游景点的中心位置｡
       4.环500米内有很多特色农庄,河对面有私人活水游泳场和烧烤场,游泳票约8--10元/人,烧烤炉约40元一个,可供十多个人玩｡
       5.因为我的房子是私人的,非中介,房主直接出租,所以价格比较实惠,干净安全卫生周到｡欢迎入住!祝您天天开心","1.佛冈奥园公寓,52平方,江景棋牌大床房,附近有森波拉,聚龙湾,王山寺,观音山等景点,小区管理,24小时保安巡逻｡
       2.环境优雅空气清新,无敌江景,有麻将机,给你的旅途增添乐趣｡
       3.交通便捷,5分钟路程到森波拉,5分钟路程到县城,距离京港澳高速3公里,位于佛冈所有旅游景点的中心位置｡
       4.环500米内有很多特色农庄,河对面有私人活水游泳场和烧烤场,游泳票约8--10元/人,烧烤炉约40元一个,可供十多个人玩｡
       5.因为我的房子是私人的,非中介,房主直接出租,所以价格比较实惠,干净安全卫生周到｡欢迎入住!祝您天天开心","京港澳高速佛冈县出口,沿106国道北上3公里即可到达佛冈奥园公寓｡导航地址:广东省清远市佛冈县佛冈奥园公寓",,,,
清远佛冈碧桂园清泉城【潮流】超大私家泳池/专业KTV房温泉别墅,"https://www.airbnb.cn/rooms/23686876?s=lL8DwLxp&guests=1&adults=1
",整套公寓,7.5个卫生间,14张床,8间卧室,16位及更多房客,2280,0,,,,,,,
山水间客栈203,"https://www.airbnb.cn/rooms/23731560?s=lL8DwLxp&guests=1&adults=1
",住宿加早餐里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,128,0,"我的民宿在风景秀美的罗坑大草原黄屋村,四层楼的别墅坐落在幽静的稻田间,为全镇离水库大草原最近的独立庭院民宿,庭院占地约3000平方,拥有荷花池､游泳池(在建)､鱼池､无公害菜地､烧烤场､花园,可免费提供停车,欢迎家庭休闲出游及公司团建活动｡

民宿有九间房,可观水/观山/观田野/满足你的不同需求,每间带有大床(或上下铺)､独立卫浴及衣柜,提供24小时热水､空调､吹风机､无线Wi-Fi､棋牌､自助厨房间,另提供有偿餐饮服务,可提前预约,设有12人同时进餐的大餐桌｡
一楼设有喝茶休闲区,二楼与四楼有公共观景平台,可远眺湖光山色,三楼家庭套房私享观景台,房内面积约50平米,设有1.8米大床,可提供有偿加床｡

远离喧嚣的城市,在自然的村落中,悠然的环境里,舍下心中的杂念,闲看庭前花开花落,漫随天空云卷云舒,希望我的房子能让旅行中的你褪去疲惫,找到你想要的心灵归属｡",,,,,,
清远佛冈碧桂园玉石点缀别墅,"https://www.airbnb.cn/rooms/23847160?s=lL8DwLxp&guests=1&adults=1
",整套房子,4个卫生间,8张床,4间卧室,最多住12人,900,1,"房屋配有落地窗,屋顶露台｡KTV设备,品牌家电家具､五星级床品｡由房东亲自设计的轻奢主义风,无论是公私差旅还是亲朋小聚,都能感受到同样的温馨的体验,相信会给朋友们留下温馨美好的回忆!","清泉城环境优美且舒适,空气质量足够好,清泉城内还有一个大的温泉区,此外附近还有森波拉温泉､龙芽寺､稍远一点有聚龙湾温泉､田野绿世界､黄山寺等很适宜养生度假｡
周边配套丰富,有购物广场､儿童游乐设施､步行商业街､佛冈县府广场里的运动设施､医院等,也是十分方便｡","碧桂园清泉城离佛冈高速出口5公里,到佛冈县城中心也不远,15-20分钟车程即到｡可自行驾车也可乘坐大巴｡",,,,
清远佛冈碧桂园清泉城【潮流】独栋欧式私家泳池/独立专业KTV温泉别墅,"https://www.airbnb.cn/rooms/23884896?s=lL8DwLxp&guests=1&adults=1
",整套房子,5个卫生间,13张床,7间卧室,16位及更多房客,2180,0,"房源简介 (可入住15—26人), 拥有独立的KTV房,300方大花园,大露台可供观赏清泉城美景｡ 别墅设备齐全:全新家电､独立KTV房､烧烤､自动麻将机､乒乓球台､私人超大游泳池､私家温泉泡池等,厨房可煮饭, 适合:家庭度假､朋友聚会､生日Party､班级活动､公司团体活动､客户接待等｡
周边描述",佛冈碧桂园清泉城,自驾车,,,,
碧桂园(潮流)豪华落地玻璃KTV泳池温泉别墅,"https://www.airbnb.cn/rooms/23885459?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3.5个卫生间,11张床,6间卧室,16位及更多房客,1380,0,"碧桂园清泉城】坐落于佛冈,山水环境得天独厚,背靠3万亩羊角山森林国家公园,空气净化指数是广州市区的8倍,楼盘周边餐饮､娱乐一应俱全｡绿道单车､儿童乐园､温泉会所､风情商业街､美食农庄样样具备｡
别墅设备齐全:自助厨房､全新家电､投屏KTV､烧烤､自动麻将机､乒乓球､桌球､私家游泳池､私人温泉池等｡ 适合:家庭度假､朋友聚会､生日Party､班级活动､公司团体活动､客户接待等｡",,,,,,
上海人家客栈,"https://www.airbnb.cn/rooms/24037165?s=lL8DwLxp&guests=1&adults=1
",精品酒店内的房间,8个独立卫生间,12张床,8间卧室,16位及更多房客,1088,1,"英德浈阳峡旅游小镇,上海人家客栈,接受家庭聚会,亲朋好友聚餐,客栈有8间客房,4间1.8米大床房,2间双1.5米双床房,2间标双人方,4楼玻璃天花,躺下都可以欣赏星空,客房內还提供免费自动麻将,一楼餐厅中餐厅,提供超大厨房,餐具一应具全,可以一展你的厨艺,提供自助烧烤炉(食材自备,也可以提前联系我,本姑娘可亲自到村民家挑选无公害绿色食品,价格另计,姑娘只帮忙买,不赚差价),浈阳峡旅游小镇,上海客栈欢迎您随时入住!",,,,,,
清远碧桂园清泉城【潮流】4房中式精致温泉别墅,"https://www.airbnb.cn/rooms/24047020?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,16位及更多房客,980,0,别墅设备齐全:自助厨房､全新家电､KTV､烧烤､自动麻将机､私人温泉池､乒乓球｡ 适合:家庭度假､朋友聚会､生日Party､班级活动､公司团体活动､客户接待等｡,,,,,,
清远佛冈【潮流】5房9床私家泳池KTV度假温泉别墅,"https://www.airbnb.cn/rooms/24047363?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,9张床,5间卧室,16位及更多房客,1480,0,别墅设备齐全:自助厨房､全新家电､独立KTV包间､韩式电烧烤炉､自动麻将机､乒乓球､私家游泳池､私人温泉池等｡ 适合:家庭度假､朋友聚会､生日Party､班级活动､公司团体活动､客户接待等｡,,,,,,
清远佛冈【潮流】5房9床望湖泳池KTV度假别墅,"https://www.airbnb.cn/rooms/24047487?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,9张床,5间卧室,16位及更多房客,1480,0,别墅设备齐全:自助厨房､全新家电､独立KTV包间､韩式电烧烤炉､自动麻将机､乒乓球､私家游泳池､私人温泉池等｡ 适合:家庭度假､朋友聚会､生日Party､班级活动､公司团体活动､客户接待等｡,,,,,,
清远佛冈碧桂园【潮流】田园风格5房8床温泉KTV度假别墅,"https://www.airbnb.cn/rooms/24047603?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,8张床,5间卧室,最多住13人,1180,0,别墅设备齐全:自助厨房､全新家电､独立KTV包间､韩式电烧烤炉､自动麻将机､私人温泉池等｡ 适合:家庭度假､朋友聚会､生日Party､班级活动､公司团体活动､客户接待等｡,"【碧桂园清泉城】坐落于佛冈,山水环境得天独厚,背靠3万亩羊角山森林国家公园,空气净化指数是广州市区的8倍,楼盘周边餐饮､娱乐一应俱全｡绿道单车､儿童乐园､温泉会所､风情商业街､美食农庄样样具备｡",,,,,
(两房两厅)佛冈碧桂园温馨舒适公寓,"https://www.airbnb.cn/rooms/24051385?s=lL8DwLxp&guests=1&adults=1
",整套房子,1间卫生间,2张床,2间卧室,最多住4人,318,3,"两房两厅一厨一卫､户外大阳台,冰箱､洗衣机､厨具餐具齐备,苑区有温泉､植物园､体育公园､游乐园､登山跑道等等｡交通便利,京港澳高速佛冈出口5公里｡周边旅游景点有森波拉､田野绿世界､观音山王山寺､羊角山度假区等等｡","这里空气清新,环境宁静舒适,配套有高级的温泉度假乐园及游泳池,植物丰富的植物观赏园,及各大饮食娱乐的农家乐餐厅､超市等｡公寓装修典雅舒适,给您香家一样温暖舒服的度假享受,远离大都市的喧嚣,享受片刻的慢生活.....","有2路､3路公交车穿梭于苑区门口,出租车方便｡",,,,
佛冈碧桂园清泉城LOFT山居亲子度假房,"https://www.airbnb.cn/rooms/24057919?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,399,4,温泉小镇里的山居微墅,,,,,,
清远佛冈碧桂园落地窗欧式豪华别墅(双温泉泡池､独立KTV包间､私家泳池､娱乐度假聚会),"https://www.airbnb.cn/rooms/24067722?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,11张床,6间卧室,16位及更多房客,1880,0,"配套设施有:
1,厨房(电饭煲/个､电磁炉/个､冰箱,通煤气可做饭,食物､调味料碗筷需自备,厨具齐全)
2,独立KTV(限时:使用时间为下午14点至晚上22点)
3,露天大温泉池､私家游泳池(入住别墅免费送一池温泉水和一池游泳水,如需加池收费200元/池,注明:游泳池冬天不开放)
4,乒乓球､桌球､自动麻将､Wifi,3D电视,韩式电烤炉提供｡",,,,,,
清远佛冈碧桂园(潮流)5房9床雅致温泉别墅【带KTV､私家温泉､麻将､桌球】轰趴,"https://www.airbnb.cn/rooms/24067963?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,9张床,5间卧室,最多住12人,1480,0,"配套设施有:
1,厨房(电饭煲/个､电磁炉/个､冰箱,煤气炉可做饭,食物､调味料碗筷需自备,厨具齐全)
2,独立投屏KTV(限时:使用时间为下午14点至晚上22点)
3,露天大温泉池､(入住别墅免费送一池温泉水,如需加池收费200元/池)
4,桌球､自动麻将､Wifi,电视,韩式电烤炉提供",,,,,,
