名称,评论时间,评论详情
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-06-15T06:49:31Z,不错下次再来
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-05-01T18:29:02Z,"房间干净整洁,设施很新,功能也很多,适合多年龄层次居住"
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-02-21T05:35:27Z,"过年的时间过来,周边环境十分安静,入住率不高｡去景点都有10公里以上的路程｡恒大的设施还算可以,超市,农庄有但选择性不多｡别墅有三层,10个人左右比较舒适,空气清新｡"
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",2018-02-20T08:41:58Z,"别墅环境很好,设置很齐全,性价比也很高,管家服务很贴心｡周边有华润超市,也有蔬果超市及恒大的运动中心,设置比较齐全｡建议可以多玩几天,规划周边的旅游,夏天白天就去黄腾峡漂流,晚上回来烧烤,冬天白天去银盏泡温泉,晚上回来烧烤｡旁边也有牛鱼嘴玻璃桥和玻璃栈道可以去玩｡
    总之,这里是一次愉快的入住体验,下次还会来!"
清远佛冈温泉带麻将近英伦小镇复式微墅2房,2018-09-18T06:33:35.000Z,"房屋很干净,设备还有冲凉的一些东西都很齐全,作为民宿很实惠了价格也不贵"
清远佛冈温泉带麻将近英伦小镇复式微墅2房,2018-09-16T08:05:42.000Z,阳台门锁不了｡洗手间洗手盆整个台快倒塌了｡站在二层的木板上叽叽嘎嘎的让人害怕极了｡
清远佛冈温泉带麻将近英伦小镇复式微墅2房,2018-08-13T05:31:16.000Z,"1. 環境,複式兩房三床公寓,外圍環境,就是渡假的環境,有草地有室外游泳池,但是設備還不夠完善,吃個飯都要開車出去,最近的超市也要開車出去｡內部環境,整體格局就是圖片那樣,但是實際分給我的房子有一間房間沒有空調,只有風扇,給房東放映情況,完全失聯不回覆!麻將台桌子壞了,會傾斜,麻將還少2隻,所以是完全不能打麻將的
2. 交通,附近其實都比較荒涼,都是自駕過去,停車費很便宜,12元24小時
3. 溝通,抵達住所前的諮詢都回覆得很快,但入住後發現了問題,房東就沒有再理我了,呵呵｡｡另外,還有本來說的提前一天,會有人主動聯絡我溝通入住問題,結果直至前一天晚上8點,仍沒有人找我,還是我自己主動找回房東要了管家的聯繫方式

總的來說,住的環境是相對滿意的,反而是人與人的溝通令我有點失望"
清远佛冈温泉带泡池独立KTV麻将机独栋别墅4房1-11,2018-08-13T05:11:22.000Z,"还可以
"
清远佛冈温泉带泡池独立KTV麻将机独栋别墅4房1-11,2018-07-20T07:30:54.000Z,"地点方便好找,管家热情负责,设备用品齐全,性价比很高｡"
清远佛冈温泉带泡池独立KTV麻将机独栋别墅4房1-11,2018-07-16T05:02:11.000Z,"跟房东沟通过程很不错的,房东人很好｡不过现场房管阿姨要认真点维护好现场卫生｡"
清远佛冈温泉带泡池独立KTV麻将机独栋别墅4房1-11,2018-05-29T08:58:29.000Z,"很nice的店主,房子也很整洁干净ins,拍照啥的都很不错,没毛病!!!"
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2019-02-13T07:07:09.000Z,"1.尽管只住了一天,但是夜景很美,房屋干净整洁,环境不错 (Website hidden by Airbnb) 2.离旅游景点很近,自驾游也很方便 (Website hidden by Airbnb) 3.这一天内,清远天气也很好,心情也不错｡"
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2019-02-11T06:09:25.000Z,"这是一家非常暖心,非常️感觉的别墅,幸福感满满,管家也很热情,别墅也非常漂亮,房间住的很舒服,给人一种轻松自在的感觉,早上看日出好美,蓝天白云,清闲,都不想动,静静发呆很幸福｡"
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2018-10-28T08:58:48.000Z,"很好,什么都齐全,但是门坏了没有提前告诉我,虽然对我也没多大影响,但是介意的话就不好办了,总体来说还是性价比很高的,距离各个景点距离也还可以｡"
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2018-10-07T08:48:05.000Z,不错
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2018-07-30T06:42:13.000Z,"管家很nice,房间比想象中的要好,没有电视｡前院很大,放台车还可以BBQ."
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2018-07-19T07:33:05.000Z,好
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2018-06-05T07:23:42.000Z,"住宿环境可以,适合多人一起去玩住宿的好地方"
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2018-05-28T07:04:49Z,"很好,位置很清晰,管家也很负责,该有的都有,的确很适合聚会或自驾游,我们来漂流的,客服对地点也推荐 建议｡很不错,下次来还会选择这里,图片也很真实"
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2018-05-06T08:11:23Z,性价比还是很高的 房间不错 环境很好
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",2018-07-08T06:27:19Z,nice
清远英德江景温泉游泳度假式住宅--给你的云海江湾的美好度假生活,2019-01-01T07:12:37.000Z,房子位置很好 面对江景 个人建议夏天度假尤为适合 只是周边景点较少 房东很nice 有问必答 耐心体贴
清远英德江景温泉游泳度假式住宅--给你的云海江湾的美好度假生活,2018-10-03T06:39:09.000Z,"房间设施好,风景也很好｡业主热情,回复迅速｡下次如果回去,会再次选择｡推荐!"
清远英德江景温泉游泳度假式住宅--给你的云海江湾的美好度假生活,2018-10-02T06:36:22.000Z,感觉挺好
清远英德江景温泉游泳度假式住宅--给你的云海江湾的美好度假生活,2018-05-27T05:47:46.000Z,"连江边上的酒店式公寓,和温泉酒店同栋楼,房子干净整洁,有一次性洗漱用品,楼下就是泳池和温泉,都是免费使用的,停车也好停,没有停车费,小镇很安静,连江风景一览无余｡非常适合一家人或者朋友相伴旅游放松,到清远市区车程1个小时,去漂流然后过来游泳很惬意｡房东人很好,回复很快,很愉快的旅程,谢谢!"
(森波拉奇妙世界旁4室豪华大床房)佛冈县碧桂园一剪梅度假公寓,2018-07-15T06:05:28.000Z,"房东是当地人很nice~楼下泳池收费15/人,很划算~房间设施基本齐全~比较满意的一次入住!"
(森波拉奇妙世界旁4室豪华大床房)佛冈县碧桂园一剪梅度假公寓,2018-04-06T07:36:10.000Z,"必须给房东阿姨点个赞,价钱十分公道,没有像其他住宿清明节节假日抬高价｡而且很多注意事项也提前跟我们沟通,入住当天怕高速塞车还提醒我们路况指引,另外阿姨是本地人,去哪吃喝玩乐问阿姨就知道了,阿姨招呼我们入住还热情给我们品尝她家乡自制的应节美食,艾糍,比我老家还好吃哈,多谢｡长辈也很满意,希望下次有机会再来｡•ᴗ•"
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2019-03-24T06:32:32.000Z,"房东热情好客,服务也不错,我们有啥需要或问题都第一时间帮我们解决!房子的环境及内部装修不错,住的还可以!"
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2019-02-19T07:08:59.000Z,"非常好的体验,房间很干净,房东很好人"
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2019-02-11T05:30:28.000Z,"房东很贴心,位置好找,出发设备基本齐全,拎包入住就可以了,第二次用爱彼迎,感觉方便,房东的价格在过年期间也很合理!家人朋友们都要得很高兴,感谢!"
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2019-02-08T08:48:25.000Z,房租很棒 房东也很棒 一家人年初三去到玩饭很开心 推荐大家!!!
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2018-12-16T07:21:29.000Z,房子很大 措施齐全
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2018-10-05T05:46:58.000Z,"房子装修非常好,卫生干净,小区好安静,床垫非常服务,是渡假休息的好地方｡"
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2018-08-05T07:53:28.000Z,"房东很好客,服务非常到位,回复飞快,而且我们没那么早到,已经有人在等我们了,为了我们的出入证明跑来跑去,真的辛苦了｡房子很舒服,特别是大厅,很宽阔,坐在那里都不起动了｡后面的园子虽然不算太大,但是足够很多人坐在那里烧烤聊天｡房间很整齐,而且还有一些书本,可以给小朋友看的书也有,十分周到｡有个温泉池小朋友很喜欢,每天早上都想着下水｡房子的配套很齐全,很完善｡下次再来一定这间｡"
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2018-06-14T05:12:30Z,"第一次自己订民宿感觉非常好,房东家里干净舒适,小细节很用心,家居感觉浓厚,全五分,值得推荐"
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2018-05-20T07:24:45Z,"环境优美,青山绿水,房东热情好客,度过一个愉快的周末"
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2018-04-30T10:22:59Z,房东很nice!她家很干净 适合朋友聚会和一家人度假
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2018-03-20T06:47:41Z,"放假带家人过来度假,房东非常的细心周到,让我们很快的入住,房子高档卫生,床很舒服,很有家的感觉安静舒适,尤其是房东精心设计的公主房,大小女生都非常喜欢,打牌唱歌聊天下雨也不闷,墙裂推荐有空还会再来!"
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,2018-03-11T05:22:21Z,"房主很热情很好客,一路关心我们有没有到,还很细致的告诉我们路线怕走错!房间家具设饰很豪华,特别二楼公主房特温馨,小朋友去了喜欢的不得了,全屋包括厨房都干净整洁!强力推荐,下次去首先!"
佛冈碧桂园温泉度假别墅6房10床+私家温泉池+超大私家花园+私家游泳池,2018-03-18T08:45:37.000Z,"和朋友一起聚会玩耍的好地方,尽兴......"
"浪漫满屋〔佛冈奥园公寓,靠近森波拉.聚龙湾〕",2018-12-15T05:05:39.000Z,"住宿很棒,交通打滴滴不贵也很方便,很值得"
"浪漫满屋〔佛冈奥园公寓,靠近森波拉.聚龙湾〕",2018-10-11T08:16:51.000Z,"挺满意,房东林姐热情好客给我推荐很多当地好吃的,房间干净舒服,很不错"
"浪漫满屋〔佛冈奥园公寓,靠近森波拉.聚龙湾〕",2018-10-07T07:45:03.000Z,"奥园公寓环境好,交通方便,房东热情好客,下次还会去住,有家的体验"
清远佛冈碧桂园玉石点缀别墅,2018-04-28T07:46:33.000Z,环境清净…适合度假
上海人家客栈,2018-04-07T08:33:35.000Z,"房东简直太热情,服务实在是太周到,不但帮我们切菜煲汤(汤非常美味!),还帮我们预定游船票,还给出了很多实用的游玩建议,全程服务完美无瑕!第一次住民宿有种被房东感动的感觉!房间也很干净,对着江边风景如画,很满意的一次出游,下次必定再去!"
(两房两厅)佛冈碧桂园温馨舒适公寓,2018-10-04T06:38:51.000Z,"来泡温泉,交通便利,房东很热情"
(两房两厅)佛冈碧桂园温馨舒适公寓,2018-07-25T08:36:33.000Z,"公寓很干净很温馨,比预期的好,如果客厅y有空调就更好了｡"
(两房两厅)佛冈碧桂园温馨舒适公寓,2018-04-17T06:49:48.000Z,"佛冈碧桂园环境非常好,泡温泉,逛植物园,吃农家菜,一家老小都玩得很开心,公寓设施也很好,空间很大,装修典雅温馨,干净整洁,房东梅姐很热情,对我们很照顾,推荐入住噢~"
佛冈碧桂园清泉城LOFT山居亲子度假房,2019-02-09T08:18:31.000Z,"房东很nice,很好的入住体验"
佛冈碧桂园清泉城LOFT山居亲子度假房,2019-01-20T06:43:07.000Z,"很不错,房东人也很好,非常满意的一次入住"
佛冈碧桂园清泉城LOFT山居亲子度假房,2018-06-17T07:41:24.000Z,"房子很不错｡空气很好,温泉就在不远的地方,有车接送(不过我问房东的时候房东告诉我去泡温泉只能自驾)｡但确实除了去温泉其他交通不是很便捷,只能自驾!!!"
佛冈碧桂园清泉城LOFT山居亲子度假房,2019-02-10T07:10:24.000Z,房東小姐姐超nice的!房間也很漂亮､環境很清淨!性價比挺高的~
佛冈碧桂园7房豪华轰趴温泉度假别墅带温泉池泳池麻将桌烧烤KTV,2019-03-22T05:19:11.000Z,The host canceled this reservation 40 days before arrival. This is an automated posting.
佛冈碧桂园7房豪华轰趴温泉度假别墅带温泉池麻将桌烧烤KTV,2019-03-25T07:11:46.000Z,"房间很好,装修很豪华｡比想象中的要好一点,厨房的用具过于简洁,碗筷都不齐"
佛冈碧桂园清泉城豪华欧式温泉别墅,2018-05-06T06:58:18.000Z,"房东反馈很迅速,问了很多问题都及时回答,入住后出现的一些问题打电话后管家也及时处理,自己运气很不好的是居然停水了弄的第二天早晨很狼狈｡打麻将,乒乓球,桌球,唱K,小朋友玩水,总体玩的很开心｡
建议改进的地方:床位大小放置位置的描述不完全正确;烧烤炉没有图片,描述里让人有可以一屋子人弄烧烤晚餐的错觉,其实那个烧烤炉就是很小很小烤肠子的炉子;放热水池的时候要提醒入住者留意水池的阀门是否关紧,我们第一天流了大半池水,第二天又停水,没泡成功｡"
"碧湖小筑,集装箱改造的亲水房屋,非一般的野外住宿体验",2018-12-25T07:28:53.000Z,很好的一个湖边小屋
"碧湖小筑,集装箱改造的亲水房屋,非一般的野外住宿体验",2018-12-12T08:12:46.000Z,"位置很妙,主人家的热情好客让人感动｡推荐给我们的当地的青菜豆腐牛肉烤鸡等等也真是难得的好吃~从这里出发,沿240往连江口方向去,雨后的景色可以说意外惊喜终身难忘了❤️"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2019-03-03T05:15:20.000Z,"超级喜欢,超级实惠,地方又漂亮,又好找,周边东西也很实惠,环境也很舒服,还可以唱K､烧烤,管家也很热情,有什么问题都能帮我们解决｡"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2019-02-12T06:28:35.000Z,"离开压力喧闹的城市,来到这边别墅,空气好,一大早起来打开窗户就能感受到新鲜空气,让人瞬间幸福感满足,独立安静的过下二人世界,谢谢店家️这么一个地方让我们️机会体会这种幸福｡希望更多的人去体验这种幸福｡"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2019-01-17T08:17:35.000Z,"别墅很大､空气清新､环境一流,卫生､被铺非常干净,管家服务热情周到,随传随到!离新银盏温泉､古龙峡玻璃大峡谷景点很近｡别墅内可以泡温泉､烧烤､唱K､打麻将､厨房厨具样样齐全,在小区内农贸市场､华润万家购买烧烤材料走路都能到,非常方便!周边还有假山瀑布､松鼠营､山顶公园免费游览观赏,几个朋友还可以打一场CS真人对抗赛,很好玩｡吃饭附近也有很多农庄选择,价格实惠,我们一班朋友玩得很开心,下次有机会还会再来!"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2018-11-18T07:30:19.000Z,"周围的别墅都是荒着的,晚上还是有点害怕的｡三楼外面的小卧室床单被罩脏的,厨房菜板,冰箱都是霉迹斑斑｡卫生间卫生水平也是县城招待所水平?不过有卡拉OK,麻将还是挺好"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2018-11-05T08:55:34.000Z,"一个比较安静的别墅,左右邻近的别墅基本上是没有人住的状态｡离小区的出入口约10分钟脚程｡不是旺季的话楼盘内基本没什么可以吃的,要到附近的农庄吃饭｡去古龙峡约40分钟车程｡清远鸡好吃｡瘦身鱼非常多骨,虽然不腥,但真的很多细骨｡"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2018-10-09T05:15:32.000Z,"服务很好,而且优惠｡"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2018-10-03T06:32:09.000Z,"这个位置很适合居住因为很方便购买很方便,其中也有游泳cs等娱乐居住都很适合"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2018-10-02T05:04:21Z,很棒!!!
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2018-09-24T08:04:49Z,"环境不错,设备一应俱全,是个很好的多人度假选择"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2018-07-27T08:20:48Z,"整体来说是个比较荒凉的别墅,比起同价位的别墅,我觉得还是比我印象中差｡"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2018-05-27T08:17:16Z,"别墅非常好,KTV效果超棒"
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",2018-10-11T07:08:04Z,非常好
佛冈碧桂园四房七床欧式别墅,2019-02-05T07:47:59.000Z,"房间内设施不错,其他用品挺完善的,周边购物会不太方便,池子小了一点,温泉水也不多,但是房东人很好,跟他说后会加水!"
佛冈碧桂园四房七床欧式别墅,2018-11-04T05:24:00.000Z,"性价比很好,房东很热情,响应也很迅速,基础设施完备,值得选择｡"
佛冈碧桂园四房七床欧式别墅,2018-07-01T07:18:30.000Z,"挺好的,性价比挺高｡管家态度挺好,附近万田超市的东西也不贵,九点前可以让他们放温泉水泡澡｡"
英德连江口镇豪华江景公寓三房两厅,2019-02-09T08:03:13.000Z,"回应迅速,有问必答｡房间不错,阳台和房间都可以看到北江｡过年人多车多,车位不太够｡"
英德连江口镇豪华江景公寓三房两厅,2018-09-23T05:07:26.000Z,"房子很好,很干净,老人家入住孟说好｡房东沟通很快回应,很好,景观就不用说了,江景很舒服,楼下用泳池,温泉池也不错,宁静的小镇｡"
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2019-02-26T06:52:43.000Z,"房子很干净,很好,有儿童设施,儿童玩起来也开心"
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2019-02-18T08:11:48.000Z,和预期差不多
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2019-02-16T05:09:30.000Z,"很惊艳的一次入住｡装修环境与图片一致,床品舒服,设施齐全,适合一大家庭或者朋友聚会｡非常感谢房东准备的一切儿童用品,让孩子们也度过了愉快的一天｡"
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2019-01-20T07:48:07.000Z,"房东很好啊,回复很及时,准备的东西也很全,这趟去真的很舒服,稳稳妥妥,没有出现任何意外,超赞｡下次过来清远还会找房东的(･ω< )★"
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2019-01-01T08:17:19.000Z,"房东霞姐非常亲切!整个沟通过程非常愉快,耐心地帮我们解答了好多问题~房子很干净,厨房用具很齐备,跟朋友一起来庆祝生日加跨年轰趴非常开心~"
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2018-12-31T07:59:36.000Z,很愉快的一次朋友聚会!特别是室外的温泉♨️与本次成功入冬的相遇!
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2018-12-16T07:46:54.000Z,"房东很nice,回应很迅速,而且很贴心,准备了很多工具,房子很干净舒适~东西很齐全,很适合聚会~我们都玩得很开心~比心推荐"
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2018-12-02T05:15:41Z,"房东人很好,帮忙解决了没有带身份证不让进小区的问题,非常感谢!希望后面来的客人一定要记得带身份证!!!房子很干净,很温馨｡我们续住了几个小时,非常舒服!"
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2018-10-28T08:25:01Z,真的很不错
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2018-10-21T06:38:35Z,"挺不错的,有小孩子玩的设施｡我们的小朋友玩的很开心｡周边也有超市和农庄!"
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,2018-10-15T05:30:29Z,"两天一夜的清远之旅就此结束,这次入住的别墅真的很不错干净卫生,设备齐全,完全没有异味,我想要的宝宝滑梯,餐椅,浴盆,游泳圈都有哦[呲牙][呲牙]宝宝住的很开心~"
清远佛冈温泉欧式豪华带泳池乒乓球桌球投影ktv别墅7房(19-8),2019-01-03T06:32:28.000Z,"入住很愉快,房东和管家都很奶思,出了点小问题很快就解决了｡厨房可以做饭,只要不是弄得很脏都没问题不用加收费用,调料和碗筷需要自己带,附近就有超市,这个也很方便啦~主要是碧桂园环境好!"
清远佛冈温泉欧式豪华带泳池乒乓球桌球投影ktv别墅7房(19-8),2018-05-23T06:15:47.000Z,"在这里过了一个愉快的周末!欧式风格,很洋气,很豪华,很舒适,我们都很喜欢!房子很干净,房东也很nice,景色也不错,特别适合度假,我们自己带的菜,基本都有我们想要的厨具 哈哈!以后还会再来!"
清远佛冈温泉带泳池乒乓球泡池独立ktv独栋别墅5房16-20,2018-05-19T07:18:17.000Z,"第二次找这个房东租别墅,很有保障,房东对于客户的要求是会全面了解再进行匹配的,住的很舒服,继续努力｡"
清远佛冈碧桂园豪华中式7房轰趴聚会休闲度假温泉中空别墅带泳池ktv麻将,2018-06-09T07:06:58.000Z,"房东人挺好的,别墅还可以,但床有点硬不是我之前想的软床没那么舒服哈哈但问题不大｡"
清远佛冈碧桂园5房望湖别墅梵蒂冈之家(配有麻将､KTV､烧烤和温泉池)8-25,2018-06-06T07:15:54.000Z,"位置很好找,直接导航就找到了｡环境很不错,wifi速度也很快｡卫生搞得很好,很干净｡跟家人一起泡个温泉烧个烤,放松放松,这边的空气也超级好,很喜欢~"
"房子是我的家,我很爱惜它,希望可以带给你舒适感觉!",2018-10-05T06:54:19.000Z,"房子位于高速出口附近,位置很好｡房内卫生干净,很舒适｡房东人热情,沟通很顺畅｡"
清远佛冈碧桂园5房别墅梵蒂冈之家(配有独立KTV房､温泉池､麻将和烧烤)1-8,2018-06-05T07:49:32.000Z,"房东很好人很热情~问东西几乎是秒回!房屋卫生打扫得非常干净,很整洁｡环境装修的很好,是我喜欢的风格~住得也很舒适~位置也很棒啊,周边有好吃的好玩的,很适合几家人一起去度假放松!下次还会再来这家唷!"
"清远恒大金碧天下豪華5房 中空大厅別墅含KTV 碳烧烤, 厨房设备齐｡古龙峡漂流,玻璃栈道景区附近.",2019-01-01T07:11:22.000Z,和预想一样 设施齐全 有电磁炉有烧烤炉  就是房子太大暖气几乎感觉不到 房间暖气也很小晚上睡觉冷 厕所热水太热 其他很好
"清远恒大金碧天下豪華5房 中空大厅別墅含KTV 碳烧烤, 厨房设备齐｡古龙峡漂流,玻璃栈道景区附近.",2018-07-21T05:51:37.000Z,"别墅在清连高速附近,下高速后几分钟就到了,交通便利之外还备有停车位｡客厅､饭厅､厨房很大,我们总共10个人也能摊开玩｡入住体验好,房东态度也很好,所有问题都能及时响应,而且还介绍了很多当地好玩的景点,全程很满意,下次还会再来!"
"清远恒大金碧天下豪華5房 中空大厅別墅含KTV 碳烧烤, 厨房设备齐｡古龙峡漂流,玻璃栈道景区附近.",2019-01-20T08:57:58.000Z,體驗還是非常不錯的｡
"清远恒大金碧天下豪華5房 中空大厅別墅含KTV 碳烧烤, 厨房设备齐｡古龙峡漂流,玻璃栈道景区附近.",2018-07-20T08:38:34.000Z,"Amazing stay in 光兰's villa. It is convenient to reach main attractions on the island and the parking place is right in the villa. The butler guided and meet us with keys. He introduced the place and all equipment. Also gave us lots of recommendations for food and fun. That was very helpful. The space itself is even better than the photo which is very clean and tidy. Comfort beds, well equipped kitchen, nice outdoor pool, KTV room and the nearest beach is only in 10 mins. The overall experience is fantastic. We will definitely come back again.

滿分的住宿體驗!我們和家人們開車過來可以直接停到別墅裡,光蘭的管家熱情接待並仔細說明別墅內的設備,也推薦了很多好吃好玩的地方｡別墅裡總共有8張1.5米的大床和8張1.2米的加大單人床,床墊非常舒服,家人們一致肯定,從別墅出發去主要景點也非常方便,去可以游泳的海灘只要10分鐘｡下次來海陵島,一定會再選擇這裡｡"
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",2019-02-17T07:45:59.000Z,"卫生干净整洁,近周边景点,️唱K､麻将,厨房,非常方便,️什么问题打给管家马上就过来,值得一来｡"
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",2019-02-11T08:48:49.000Z,"别墅在恒大金碧天下小区,挺好找的,环境很好,我们住的是独栋别墅,欧式装修风格,别墅布置也很豪华,别墅里麻将机,独立KtV,温泉池,烧烤炉等应有尽有,订房后还送一池温泉水｡基本上不出别墅还可以娱乐一天,吃饭的话附近就有好几家不错的农庄和恒大饮食中心,也可以自己买菜在别墅里做,挺方便的｡"
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",2019-01-19T05:03:20.000Z,"别墅比较清净,空气好,房间干净,️️烧烤,有温泉泡,交通便利,买东西也很方便｡小区环境也不错,值得推荐｡"
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",2018-11-10T07:06:36.000Z,"房源还是不错的就是位置太偏交通不方便,但服务态度不错,如果是自驾的话比较推荐,不过建议改善一下隔音条件"
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",2018-10-28T05:11:02.000Z,好
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",2018-10-01T08:48:11.000Z,别墅很大  在恒大旅游城里  有车的话很方便   满意
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",2018-09-13T08:41:43.000Z,家居风格还是不错的
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",2018-07-10T07:36:07Z,"装修风格不错,干净,但KTV和电视需要修复一下,管家很热情,周边环境安静舒适,附近也有很多不错的景点,值得推荐"
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",2018-07-09T06:50:09Z,"住宿条件不错,但是ktv设施有点卡,其他都很不错"
